Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,81.500000,85.879997,78.820000,79.879997,70.004311,70394800
2014-02-01,80.019997,84.750000,77.419998,83.349998,73.045311,47342400
2014-03-01,82.559998,84.690002,76.250000,79.720001,69.864090,69509700
2014-04-01,79.599998,80.389999,76.360001,80.220001,70.302269,71963300
2014-05-01,80.180000,81.489998,77.709999,81.449997,72.238312,42588900
2014-06-01,81.099998,84.559998,79.769997,80.839996,71.697304,60237800
2014-07-01,81.089996,81.690002,78.849998,79.279999,70.313751,50873500
2014-08-01,78.849998,81.989998,76.870003,81.059998,71.892418,42921000
2014-09-01,80.949997,82.160004,77.559998,81.320000,72.123024,67907500
2014-10-01,81.180000,81.419998,73.980003,81.120003,71.945656,75168600
2014-11-01,81.029999,86.489998,80.669998,86.330002,77.605644,43764800
2014-12-01,85.879997,91.940002,81.660004,89.309998,80.284477,62619800
2015-01-01,89.669998,91.339996,83.860001,84.029999,75.538071,54792200
2015-02-01,84.419998,91.440002,83.470001,90.029999,80.931725,41496100
2015-03-01,90.029999,94.980003,86.400002,93.690002,84.221863,68503900
2015-04-01,93.559998,96.779999,92.129997,92.650002,83.286934,48841600
2015-05-01,93.320000,97.949997,92.589996,96.040001,88.219498,39458400
2015-06-01,96.180000,100.470001,94.250000,96.779999,88.899239,49597500
2015-07-01,97.739998,103.989998,96.309998,103.110001,94.713791,48475700
2015-08-01,103.169998,105.370003,88.430000,94.269997,86.593636,56966300
2015-09-01,91.879997,99.940002,91.680000,98.260002,90.258728,60092500
2015-10-01,98.470001,109.860001,96.309998,107.199997,98.470757,55509800
2015-11-01,107.080002,108.430000,103.019997,107.220001,99.547333,46891900
2015-12-01,107.290001,109.650002,101.910004,104.500000,97.021957,54959900
2016-01-01,102.620003,105.650002,97.139999,105.540001,97.987549,66081200
2016-02-01,104.750000,106.800003,91.400002,100.260002,93.085388,72193500
2016-03-01,101.379997,116.510002,101.000000,115.400002,107.141953,68422700
2016-04-01,114.760002,116.519997,111.790001,112.919998,104.839424,49572000
2016-05-01,112.900002,119.720001,112.250000,118.970001,111.528961,37905300
2016-06-01,118.970001,120.779999,108.660004,113.290001,106.204224,50791400
2016-07-01,113.660004,118.000000,111.330002,112.809998,105.754242,43799800
2016-08-01,112.580002,116.199997,111.730003,115.000000,107.807266,42291400
2016-09-01,114.750000,124.959999,108.830002,122.169998,114.528801,58695000
2016-10-01,121.589996,122.470001,114.510002,116.239998,108.969711,50003000
2016-11-01,116.500000,121.529999,114.660004,119.430000,113.124832,54957500
2016-12-01,119.500000,125.720001,116.089996,117.129997,110.946266,49415000
2017-01-01,117.379997,118.360001,112.610001,113.870003,107.858383,52904600
2017-02-01,113.800003,123.430000,112.309998,122.500000,116.032768,38174000
2017-03-01,123.239998,126.529999,118.300003,119.879997,113.551071,65634500
2017-04-01,118.000000,121.349998,114.820000,121.300003,114.896118,42332600
2017-05-01,121.370003,124.599998,119.410004,124.470001,119.121925,40493000
2017-06-01,124.930000,128.470001,119.099998,123.680000,118.365883,56432600
2017-07-01,123.820000,129.699997,122.029999,128.820007,123.285034,33694900
2017-08-01,129.100006,130.919998,127.260002,130.759995,125.141655,34604900
2017-09-01,130.949997,138.699997,129.100006,135.070007,129.266510,50820700
2017-10-01,135.229996,143.779999,133.660004,142.360001,136.243240,41387500
2017-11-01,142.259995,148.600006,141.470001,148.009995,143.022430,34120000
2017-12-01,147.699997,158.440002,145.750000,153.089996,147.931244,40816400
2018-01-01,153.500000,162.600006,152.779999,160.699997,155.284821,42247000
2018-02-01,160.160004,165.580002,148.789993,161.009995,155.584366,43864100
2018-03-01,161.279999,164.300003,147.160004,153.500000,148.327423,66273100
2018-04-01,151.820007,155.699997,146.050003,151.199997,146.104935,42164300
2018-05-01,151.089996,157.649994,149.139999,155.740005,151.819946,37186500
2018-06-01,156.940002,165.559998,155.300003,163.589996,159.472321,57789200
2018-07-01,161.899994,168.949997,158.080002,159.330002,155.319580,42665600
2018-08-01,160.309998,169.919998,157.839996,169.070007,164.814407,37640800
2018-09-01,168.759995,175.639999,167.500000,170.199997,165.915955,40698200
2018-10-01,171.139999,174.820007,150.630005,157.619995,153.652603,53970000
2018-11-01,157.899994,165.940002,155.250000,164.520004,161.844788,47618200
2018-12-01,165.970001,168.369995,132.630005,141.009995,138.717056,58259200
2019-01-01,138.929993,154.899994,135.580002,153.550003,151.053146,43567200
2019-02-01,154.250000,162.500000,153.660004,161.380005,158.755829,34127700
2019-03-01,163.000000,177.490005,160.500000,176.020004,173.157776,45264400
2019-04-01,175.500000,182.830002,174.559998,182.669998,179.699646,35897100
2019-05-01,183.199997,183.350006,170.350006,178.070007,176.625366,39072700
2019-06-01,177.869995,187.309998,174.229996,184.770004,183.271011,39715600
2019-07-01,184.830002,197.470001,184.429993,192.580002,191.017654,34614000
2019-08-01,193.330002,200.679993,184.229996,198.169998,196.562302,40805700
2019-09-01,196.360001,202.800003,187.279999,192.350006,190.789520,43457400
2019-10-01,192.600006,193.369995,181.970001,185.419998,183.915741,42679200
2019-11-01,186.699997,201.660004,185.479996,201.160004,200.385300,30349000
2019-12-01,201.440002,213.250000,196.470001,210.570007,209.759064,39647400
